algo,func,run_id,error
DBO,F32014,40,71879.81427634372
DBO,F32014,41,72581.42487510327
DBO,F32014,42,44998.132468891075
DBO,F32014,43,58925.11435022691
DBO,F32014,44,55679.034390578505
DBO,F32014,45,38986.07039434073
DBO,F32014,46,57169.0741915575
DBO,F32014,47,43824.14019116163
DBO,F32014,48,69104.81673305012
DBO,F32014,49,56559.18189643616
PSO,F32014,0,114550.37815300854
PSO,F32014,1,54558.06977462478
PSO,F32014,2,21476.78393493743
PSO,F32014,3,52173.01909722002
PSO,F32014,4,93922.63224893168
PSO,F32014,5,12062.125171887197
PSO,F32014,6,94708.55824430932
PSO,F32014,7,209059.69881116177
PSO,F32014,8,44454.76845337604
PSO,F32014,9,114079.37711328977
PSO,F32014,10,89978.55555983383
PSO,F32014,11,85981.62921080057
PSO,F32014,12,148103.3165351761
PSO,F32014,13,72343.24677252972
PSO,F32014,14,85355.13412336977
PSO,F32014,15,100288.2108830377
PSO,F32014,16,59401.07477019918
PSO,F32014,17,73220.29021444006
PSO,F32014,18,114884.52334877159
PSO,F32014,19,167478.98886587966
PSO,F32014,20,117272.0442448603
PSO,F32014,21,69234.41051716833
PSO,F32014,22,229947.4847282734
PSO,F32014,23,114395.50258666545
PSO,F32014,24,120843.21832845257
PSO,F32014,25,36617.640526726325
PSO,F32014,26,282935.3883440387
PSO,F32014,27,93087.78053599427
PSO,F32014,28,143806.61719399132
PSO,F32014,29,72355.48712272345
PSO,F32014,30,153254.56166425082
PSO,F32014,31,50279.20616917326
PSO,F32014,32,67521.0312375534
PSO,F32014,33,68713.42281591512
PSO,F32014,34,51152.86641188013
PSO,F32014,35,95337.8478689586
PSO,F32014,36,56191.607332081185
PSO,F32014,37,93396.02566954053
PSO,F32014,38,10580.419702598694
PSO,F32014,39,71249.47718774753
PSO,F32014,40,54069.40834546952
PSO,F32014,41,177683.55063310196
PSO,F32014,42,53566.252077971636
PSO,F32014,43,46588.258120148595
PSO,F32014,44,33000.70365250669
PSO,F32014,45,117341.12068599596
PSO,F32014,46,63908.86250938987
PSO,F32014,47,74233.71081640714
PSO,F32014,48,176516.58876573006
PSO,F32014,49,46393.91841744294
GWO,F32014,0,52190.17282379213
GWO,F32014,1,48747.055560101435
GWO,F32014,2,56279.335661451565
GWO,F32014,3,30137.582876779103
GWO,F32014,4,56423.37700252253
GWO,F32014,5,34968.32208761047
GWO,F32014,6,65872.45443235077
GWO,F32014,7,54165.993061469795
GWO,F32014,8,51842.23684172242
GWO,F32014,9,44170.19983100596
GWO,F32014,10,80389.17685967035
GWO,F32014,11,43943.98270269194
GWO,F32014,12,33482.43686851002
GWO,F32014,13,45408.26514817239
GWO,F32014,14,34202.64035653344
GWO,F32014,15,55439.208616038944
GWO,F32014,16,40685.67412740694
GWO,F32014,17,34777.483849578355
GWO,F32014,18,53801.58878059803
GWO,F32014,19,50581.467307707215
GWO,F32014,20,41599.03887005392
GWO,F32014,21,58876.65452530899
GWO,F32014,22,44619.533999360734
GWO,F32014,23,78984.96112056362
GWO,F32014,24,49732.88285447161
GWO,F32014,25,30808.7540268028
GWO,F32014,26,55693.79169346298
GWO,F32014,27,38622.240263563675
GWO,F32014,28,54023.34279922869
GWO,F32014,29,58025.784342643434
GWO,F32014,30,79427.46970205122
GWO,F32014,31,36562.13360012378
GWO,F32014,32,58695.06376722449
GWO,F32014,33,56877.803839515494
GWO,F32014,34,40023.436081365355
GWO,F32014,35,45643.48669597857
GWO,F32014,36,41300.19355548269
GWO,F32014,37,53317.68498212609
GWO,F32014,38,48442.44202195686
GWO,F32014,39,38357.42240232794
GWO,F32014,40,40266.1875466045
GWO,F32014,41,39086.01323022262
GWO,F32014,42,87001.38726196364
GWO,F32014,43,52370.63907945656
GWO,F32014,44,47171.92203418442
GWO,F32014,45,63434.91024236299
GWO,F32014,46,44705.698543100494
GWO,F32014,47,50216.79620556398
GWO,F32014,48,51051.143318263705
GWO,F32014,49,65710.76333518494
WOA,F32014,0,8627.5189140906
WOA,F32014,1,3111.7691929223743
WOA,F32014,2,6143.460686760032
WOA,F32014,3,2913.6885539015834
WOA,F32014,4,3749.037540970084
WOA,F32014,5,11931.300463184343
WOA,F32014,6,3094.837695817291
WOA,F32014,7,5599.745269146085
WOA,F32014,8,5031.991179489971
WOA,F32014,9,8761.322507514431
WOA,F32014,10,11581.71122431639
WOA,F32014,11,10494.52900279879
WOA,F32014,12,2967.860180707429
WOA,F32014,13,5621.775270075003
WOA,F32014,14,5524.099144009871
WOA,F32014,15,2858.1285268009233
WOA,F32014,16,8238.023531660623
WOA,F32014,17,9098.31454187262
WOA,F32014,18,5070.991113544605
WOA,F32014,19,3055.591108165718
WOA,F32014,20,5154.747515575463
WOA,F32014,21,8868.959327180411
WOA,F32014,22,8818.55424678751
WOA,F32014,23,10861.982551111512
WOA,F32014,24,15153.563371727356
WOA,F32014,25,10039.123608826378
WOA,F32014,26,2224.8959104132005
WOA,F32014,27,4590.8830893588865
WOA,F32014,28,3974.1175413480487
WOA,F32014,29,5942.167572840244
WOA,F32014,30,11742.96981549343
WOA,F32014,31,4605.399687922967
WOA,F32014,32,6171.325108421089
WOA,F32014,33,6153.425372125669
WOA,F32014,34,10823.206379294645
WOA,F32014,35,13985.96558177181
WOA,F32014,36,5612.433119531152
WOA,F32014,37,8218.330226026133
WOA,F32014,38,12239.021363925143
WOA,F32014,39,5605.955771006984
WOA,F32014,40,3075.690118310513
WOA,F32014,41,10009.72517244891
WOA,F32014,42,5268.3590531292175
WOA,F32014,43,8706.798197129241
WOA,F32014,44,9020.949849778692
WOA,F32014,45,13833.632308430568
WOA,F32014,46,13894.985074780128
WOA,F32014,47,9326.931322222634
WOA,F32014,48,8154.788896292044
WOA,F32014,49,5389.991452751965
SSA,F32014,0,61484.265049400856
SSA,F32014,1,45736.945363063925
SSA,F32014,2,51782.82068627816
SSA,F32014,3,54315.52375180469
SSA,F32014,4,52147.55094902747
SSA,F32014,5,52085.62976200369
SSA,F32014,6,70618.67806207332
SSA,F32014,7,51344.079981113566
SSA,F32014,8,47700.93383504812
SSA,F32014,9,50467.53097185441
SSA,F32014,10,40413.67784023199
SSA,F32014,11,67461.20096435085
SSA,F32014,12,58960.15797147351
SSA,F32014,13,45177.66400329424
SSA,F32014,14,37398.90599746804
SSA,F32014,15,52269.409388511514
SSA,F32014,16,41809.692316703135
SSA,F32014,17,54877.04468240819
SSA,F32014,18,66307.6515862399
SSA,F32014,19,59419.89368229525
SSA,F32014,20,82599.60194911259
SSA,F32014,21,64830.26118278086
SSA,F32014,22,66707.05284162384
SSA,F32014,23,56887.514222756356
SSA,F32014,24,60739.86705631395
SSA,F32014,25,65845.74093424462
SSA,F32014,26,60277.200471828415
SSA,F32014,27,43014.264970276556
SSA,F32014,28,72627.49333900472
SSA,F32014,29,41317.07696307013
SSA,F32014,30,48337.76868905032
SSA,F32014,31,62297.94950551337
SSA,F32014,32,34466.31808287979
SSA,F32014,33,46085.2699288962
SSA,F32014,34,46701.4952901068
SSA,F32014,35,61737.587061241786
SSA,F32014,36,62899.19037383178
SSA,F32014,37,55496.20187130941
SSA,F32014,38,74665.40345258533
SSA,F32014,39,53622.84420625513
SSA,F32014,40,55659.4101860786
SSA,F32014,41,54809.89411645858
SSA,F32014,42,42680.52923330828
SSA,F32014,43,70552.52278596854
SSA,F32014,44,66786.38894086554
SSA,F32014,45,72541.63731442796
SSA,F32014,46,60116.33130557778
SSA,F32014,47,55405.11758182834
SSA,F32014,48,50003.54933892912
SSA,F32014,49,58828.77691704799
SCA,F32014,0,50921.75084203712
SCA,F32014,1,54868.1204331114
SCA,F32014,2,65170.25838578557
SCA,F32014,3,64588.73777134361
SCA,F32014,4,43529.45268497685
